,,,,,,
ZIP Code,City,County,Type,,,
ZIP Code 84306,Collinston,Box Elder,Standard,,,
ZIP Code 84307,Corinne,Box Elder,Standard,,,
ZIP Code 84308,Cornish,Cache,Standard,,,
ZIP Code 84309,Deweyville,Box Elder,Standard,,,
ZIP Code 84310,Eden,Weber,Standard,,,
ZIP Code 84311,Fielding,Box Elder,Standard,,,
ZIP Code 84312,Garland,Box Elder,Standard,,,
ZIP Code 84313,Grouse Creek,Box Elder,Standard,,,
ZIP Code 84314,Honeyville,Box Elder,Standard,,,
ZIP Code 84315,Hooper,Weber,Standard,,,
ZIP Code 84316,Howell,Box Elder,P.O. Box,,,
ZIP Code 84317,Huntsville,Weber,Standard,,,
ZIP Code 84318,Hyde Park,Cache,Standard,,,
ZIP Code 84319,Hyrum,Cache,Standard,,,
ZIP Code 84320,Lewiston,Cache,Standard,,,
ZIP Code 84321,Logan,Cache,Standard,,,
ZIP Code 84322,Logan,Cache,Unique,,,
ZIP Code 84323,Logan,Cache,P.O. Box,,,
ZIP Code 84324,Mantua,Box Elder,Standard,,,
ZIP Code 84325,Mendon,Cache,Standard,,,
ZIP Code 84326,Millville,Cache,P.O. Box,,,
ZIP Code 84327,Newton,Cache,P.O. Box,,,
ZIP Code 84328,Paradise,Cache,Standard,,,
ZIP Code 84329,Park Valley,Box Elder,Standard,,,
ZIP Code 84330,Plymouth,Box Elder,P.O. Box,,,
ZIP Code 84331,Portage,Box Elder,Standard,,,
ZIP Code 84332,Providence,Cache,Standard,,,
ZIP Code 84333,Richmond,Cache,Standard,,,
ZIP Code 84334,Riverside,Box Elder,P.O. Box,,,
ZIP Code 84335,Smithfield,Cache,Standard,,,
ZIP Code 84336,Snowville,Box Elder,Standard,,,
ZIP Code 84337,Tremonton,Box Elder,Standard,,,
ZIP Code 84338,Trenton,Cache,Standard,,,
ZIP Code 84339,Wellsville,Cache,Standard,,,
ZIP Code 84340,Willard,Box Elder,Standard,,,
ZIP Code 84341,Logan,Cache,Standard,,,
ZIP Code 84401,Ogden,Weber,Standard,,,
ZIP Code 84402,Ogden,Weber,P.O. Box,,,
ZIP Code 84403,Ogden,Weber,Standard,,,
ZIP Code 84404,Ogden,Weber,Standard,,,
ZIP Code 84405,Ogden,Weber,Standard,,,
